レースID,年月日,レースNo,レース名,クラス,種別,距離,天候,状態,発走,競馬場,条件,
201509050611,2015年12月20日,11,第67回朝日フューチュリティ,G1,芝右 外,1600,晴,良,15:40,5回阪神6日目,2歳オープン(国際),
201509050711,2015年12月26日,11,第10回阪神カップ,G2,芝右,1400,晴,稍重,15:45,5回阪神7日目,3歳以上オープン(国際)(特指)(定量),
201510010611,2015年2月22日,11,第49回小倉大賞典,G3,芝右,1800,小雨,重,15:20,1回小倉6日目,4歳以上オープン(国際)[指](ハンデ),
201510020108,2015年8月1日,8,第17回小倉サマージャンプ,J.G3,障芝,3390,晴,良,13:50,2回小倉1日目,障害3歳以上オープン(混)(別定),
201510020411,2015年8月9日,11,第51回小倉記念,G3,芝右,2000,晴,良,15:35,2回小倉4日目,3歳以上オープン(国際)(特指)(ハンデ),
201510020811,2015年8月23日,11,第50回TV西日本北九州記念,G3,芝右,1200,晴,良,15:40,2回小倉8日目,3歳以上オープン(国際)(特指)(ハンデ),
201510021211,2015年9月6日,11,第35回小倉2歳ステークス,G3,芝右,1200,小雨,稍重,15:35,2回小倉12日目,2歳オープン(国際)(特指)(馬齢),
201601010211,2016年7月31日,11,第64回クイーンステークス,G3,芝右,1800,曇,良,15:25,1回札幌2日目,3歳以上オープン(国際),
201601010611,2016年8月14日,11,第21回エルムステークス,G3,ダ右,1700,晴,良,15:25,1回札幌6日目,3歳以上オープン(国際)(指)(別定),
201601020211,2016年8月21日,11,第52回札幌記念,G2,芝右,2000,雨,稍重,15:45,2回札幌2日目,3歳以上オープン(国際)(特指)(定量),
201601020411,2016年8月28日,11,第11回キーンランドカップ,G3,芝右,1200,晴,良,15:35,2回札幌4日目,3歳以上オープン(国際)(指)(別定),
201601020511,2016年9月3日,11,第51回札幌2歳ステークス,G3,芝右,1800,晴,良,15:25,2回札幌5日目,2歳オープン(国際)(特指)(馬齢),
201602010211,2016年6月19日,11,第23回函館スプリントS,G3,芝右,1200,晴,良,15:25,1回函館2日目,3歳以上オープン(国際)(特指)(別定),
201602020411,2016年7月17日,11,第52回函館記念,G3,芝右,2000,小雨,稍重,15:25,2回函館4日目,3歳以上オープン(国際)(特指)(ハンデ),
201602020611,2016年7月24日,11,第48回函館2歳ステークス,G3,芝右,1200,曇,良,15:25,2回函館6日目,2歳オープン(国際)(特指)(馬齢),
201603010511,2016年4月23日,11,第13回福島牝馬ステークス,G3,芝右,1800,晴,良,15:25,1回福島5日目,4歳以上オープン(国際),
201603020211,2016年7月3日,11,第65回ラジオNIKKEI賞,G3,芝右,1800,曇,良,15:45,2回福島2日目,3歳オープン(国際)(特指)(ハンデ),
201603020411,2016年7月10日,11,第52回七夕賞,G3,芝右,2000,晴,良,15:45,2回福島4日目,3歳以上オープン(国際)(特指)(ハンデ),
201603030411,2016年11月13日,11,第52回福島記念,G3,芝右,2000,晴,良,15:20,3回福島4日目,3歳以上オープン(国際)(特指)(ハンデ),
201604010411,2016年5月8日,11,第38回新潟大賞典,G3,芝左 外,2000,晴,良,15:20,1回新潟4日目,4歳以上オープン(国際)[指](ハンデ),
201604020211,2016年7月31日,11,第16回アイビスサマーD,G3,芝直線,1000,晴,良,15:45,2回新潟2日目,3歳以上オープン(国際)(特指)(別定),
201604020411,2016年8月7日,11,第8回レパードステークス,G3,ダ左,1800,晴,良,15:45,2回新潟4日目,3歳オープン(国際)(指)(馬齢),
201604020611,2016年8月14日,11,第51回関屋記念,G3,芝左 外,1600,晴,良,15:45,2回新潟6日目,3歳以上オープン(国際)(特指)(別定),
201604020908,2016年8月27日,8,第18回新潟ジャンプS,J.G3,障芝 外-内,3250,晴,良,14:01,2回新潟9日目,障害3歳以上オープン(混)(別定),
201604021011,2016年8月28日,11,第36回新潟2歳ステークス,G3,芝左 外,1600,晴,良,15:45,2回新潟10日目,2歳オープン(国際)(特指)(馬齢),
201604021211,2016年9月4日,11,第52回新潟記念,G3,芝左 外,2000,晴,良,15:45,2回新潟12日目,3歳以上オープン(国際)(特指)(ハンデ),
201605010211,2016年1月31日,11,第30回根岸ステークス,G3,ダ左,1400,晴,稍重,15:45,1回東京2日目,4歳以上オープン(国際)(指)(別定),
201605010411,2016年2月7日,11,第66回東京新聞杯,G3,芝左,1600,晴,良,15:45,1回東京4日目,4歳以上オープン(国際)[指](別定),
